dimensionName,dimensionValue,colorCode,colorDisplay
country,UK,#ce1124,
country,FR,#0055a4,
channel_category,Media-attributed,#0077cb,
channel_category,Online media,#95d553,
channel_category,Stock levels,#ff6d01,
channel_category,Traditional media,#ffb447,
channel,Audio,#dff5c8,
channel,CRM,#c0ffb9,
channel,Display,#5db158,
channel,OOH,#ffe0af,
channel,Paid Search,#238c5d,
channel,Pricing and Promos,#685bc7,
channel,Social Media,#9bda5d,
channel,Stock levels,#ff6d01,
channel,TV,#ffa30a,
channel,Video,#b0ef90,
platform_name,Adobe Campaign,#c0ffb9,
platform_name,Google Ads,#238c5d,
platform_name,Google DV 360,#5db158,
platform_name,Meta,#9bda5d,
platform_name,OOH,#ffe0af,
platform_name,Samsung,#ff6d01,
platform_name,SearchAds,#238c5d,
platform_name,Snapchat,#9bda5d,
platform_name,Teads,#238c5d,
platform_name,Tiktok,#9bda5d,
platform_name,TV,#ffa30a,
platform_name,Twitter,#9bda5d,
source,Adobe Campaign - Emailing,#c0ffb9,
source,Adobe Campaign - Push Notifications,#c0ffb9,
source,Google DV360 - RTB Display,#5db158,
source,Google DV360 - RTB Video,#b0ef90,
source,Google DV360 - Youtube,#b0ef90,
source,GoogleAds - Discovery,#238c5d,
source,GoogleAds - Display,#238c5d,
source,GoogleAds - PMAX,#238c5d,
source,GoogleAds - Search Product,#238c5d,
source,GoogleAds - Shopping,#238c5d,
source,Meta - Facebook,#9bda5d,
source,Meta - Instagram,#9bda5d,
source,Meta - Uncategorized - Audience Network - Messenger,#9bda5d,
source,OOH - Digital,#ffe0af,
source,OOH - Static,#ffe0af,
source,Samsung - Stock levels,#ff6d01,
source,SearchAds - Bing Product,#238c5d,
source,Snapchat,#9bda5d,
source,TBD,#eeeeee,
source,Teads,#238c5d,
source,TikTok,#9bda5d,
source,TV - Connected,#ffa30a,
source,TV - Free-to-Air,#ffa30a,
source,Twitter,#9bda5d,
source,VidSearchAds - Bing Brandedeo,#238c5d,
product_group,CE,#c800a1,
product_group,Cross,#b1b8e0,
product_group,Galaxy A series,#a4d4fd,
product_group,Galaxy S series others,#9ee4f3,
product_group,Galaxy S21,#0077cb,
product_group,Galaxy S22,#1428a0,
product_group,Galaxy Z series,#00b3e3,
product_group,MX multi,#00c2b2,
product_group,MX others,#009ca6,
product_group,None,#75787b,
product_group,Other,#8192de,
product_group,Watches,#0082ff,
product_group,Wearables,#685bc7,